sgRNA	Gene	Day0	Day23
s_20929	FGF22	319.693017923	230.558205811
s_5696	BRAP	1423.39510361	1861.06583731
s_10145	CCR8	1047.15774238	1383.34923487
s_43765	PPWD1	162.021291396	165.079675361
s_1819	AKN	1914.89593389	1710.74188712
s_54653	SUGP1	738.338636632	607.751430519
s_42175	PKLR	1319.00554674	1493.09494083
s_771	ACSM3	4629.02441258	5107.32537513
s_23766	GPR16	4151.65966813	3673.25333499
s_17537	EFHA2	317.518235488	319.092556843
s_28059	ITGB1BP	864.476017854	950.822040766
s_18279	ENPP	206.604331311	175.224236417
s_46929	RFTN1	919.932969942	1228.41412056
s_6671	C16orf80	1854.00202571	752.541983768
s_60075	UBA6	2228.06460451	1714.43081841
s_51367	SLC25A2	309.906496966	597.606869463
s_9334	CBLC	1050.41991603	887.187975962
s_23639	GPR110	1382.07423735	1060.56774673
s_36430	NDUFA1	484.976482972	452.816316214
s_21213	FLOT2	815.54341307	1060.56774673
s_407	ABTB2	1716.99073232	1480.18368131
s_47953	RP11-543D5.3	328.392147663	188.135495942
s_25670	HMX1	2197.61765042	2590.5520005
s_61569	WARS2	2710.86630504	3270.23759123
s_27690	IP6K2	989.526007858	998.778147575
s_19761	FAM198B	1856.17680815	2242.87022613
s_35579	MYEO	1124.36251882	899.177002664
s_41358	PEX3	943.855576726	775.59780435
s_22435	GCFC2	2789.1584727	2685.54198129
s_19242	FAM102A	267.498239487	297.881201908
s_44880	PTAF	1031.93426534	794.042460814
s_42627	PLP1	689.406031848	757.153147885
s_15395	DDX26B	1711.55377623	1810.34303203
s_34001	MITD1	263.148674617	356.904102596
s_48575	RTBDN	1279.85946291	1008.00047581
s_40707	PCGF	520.860393147	529.361640543
s_43081	POLR2	872.087756376	1193.36927328
s_43285	PPAP2B	1039.54600386	970.188930054
s_54158	ST7L	4121.21271404	5045.53577598
s_60076	UBA7	884.049059767	1147.25763212
s_28498	KBTBD8	432.781704536	628.04055263
s_27086	IL17D	774.222546807	762.686544824
s_63634	ZNF28	2000.79984006	2203.21421473
s_63983	ZNF480	786.183850199	588.384541231
s_43908	PRDM14	264.236065835	334.770514838
s_60829	USP11	673.095163587	621.584922868
s_4411	ATP5SL	1186.34381821	806.031487517
s_43096	POLR2M	1190.69338308	770.986640233
s_34252	MMP7	1914.89593389	1767.92032216
s_2237	AMMECR1	832.941672548	691.674617434
s_29014	KDM6B	214.216069833	385.493320117
s_45232	PTPRO	1560.40639701	1732.87547488
s_9945	CCL18	590.453431062	782.053434112
s_33465	MEGF9	943.855576726	1098.37929249
s_38588	OCIAD2	776.397329242	791.275762345
s_51556	SLC28A	928.632099682	841.0763348
s_55031	SYPL2	412.121271404	250.847327923
s_14246	CTSG	648.085165586	893.643605725
s_46257	RASSF	1435.356407	1227.49188774
s_34188	MMP1	1384.24901978	1535.5176507
s_8765	CACNG	1572.3677004	1704.28625736
s_47168	RHBDL1	992.78818151	1173.08015117
s_33075	MBP	4424.59486371	4043.99092993
s_55854	TCF7	1547.3577024	1774.37595192
s_40088	PAK2	213.128678616	107.90124032
s_25101	HERC4	1047.15774238	612.362594635
s_60687	UNK	1348.36510961	1075.3234719
s_63520	ZNF234	155.496944092	314.481392727
s_5900	BTBD	1240.71337908	1102.06822378
s_18388	EPB4	1354.88945691	1533.67318506
s_31918	LRTOM	3105.58931697	3550.5963695
s_16079	DLC1	550.219956018	672.307728146
s_41541	PGPEP1	608.939081759	464.805342916
s_59496	TSTD1	476.277353233	459.271945976
s_34327	MOB4	1799.63246484	379.037690354
s_19829	FAM20C	728.552115675	1026.44513227
s_59707	TTLL3	476.277353233	372.582060591
s_45406	PXN	1458.19162257	1150.94656341
s_33351	MED13L	157.671726527	69.1674617434
s_17418	EDEM3	1027.58470047	891.799140078
s_11760	CHP1	228.352155659	146.635018896
s_22201	GALR2	951.467315248	818.942747042
s_45809	RABEP	1875.74985006	2379.36068397
s_45169	PTPN9	764.436025851	727.641697541
s_33330	MED1	474.102570798	403.015743758
s_10585	CDC1	595.890387149	129.112595254
s_4274	ATP13A5	244.663023921	263.758587448
s_49567	SDR9C7	578.492127671	599.45133511
s_63283	ZNF114	934.069055769	1056.87881544
s_61543	VWC2	980.826878118	1177.69131528
s_2302	ANAPC1	508.899089755	270.214217211
s_7598	C2orf16	318.605626706	265.603053095
s_51298	SLC23A3	1478.8520557	1225.64742209
s_12460	CLTB	1849.65246084	1730.10877641
s_29263	KIAA1324L	2735.87630304	2798.05438573
s_35328	MTRNR2L7	646.997774369	648.329674742
s_34420	MORN3	1028.67209169	1018.14503686
s_48784	RYR2	439.30605184	859.520991265
s_2304	ANAPC11	1097.17773838	1256.08110526
s_29011	KDM6A	621.987776368	935.144082771
s_21049	FHL3	733.989071763	781.131201289
s_60701	UPF3A	1985.57636302	2171.85829874
s_36895	NFKBID	894.922971942	784.820132582
s_31650	LRRC23	1158.07164656	1185.06917787
s_18723	ESCO1	1223.3151196	1497.70610495
s_63624	ZNF284	362.101275403	290.503339322
s_1224	ADD	6012.18604115	7131.62642216
s_54005	SSFA2	2012.76114346	2326.79341305
s_2110	ALPK3	467.578223493	415.004770461
s_19405	FAM131A	1627.82465249	1396.26049439
s_44175	PRKX	1213.52859865	1241.32538009
s_49922	SERINC2	3852.62708334	3381.82776284
s_4805	B4GALNT2	5398.89739452	4854.63358156
s_59698	TTLL13	160.933900179	111.590171613
s_23408	GOLM	516.510828277	709.197041076
s_56153	TEX101	766.610808285	832.776239391
s_14752	CYP2U1	905.796884116	820.787212689
s_22892	GJC	307.731714532	267.447518741
s_44395	PRR22	840.55341107	835.54293786
s_38818	OPRK	804.669500895	899.177002664
s_17568	EFNA1	2007.32418737	2233.6478979
s_60874	USP25	362.101275403	424.227098693
s_63862	ZNF419	1114.57599786	1293.89265101
s_64033	ZNF50	30.4469540879	32.2781488136
s_37469	NOL9	1127.62469247	1837.08778391
s_58220	TNN	666.570816282	710.119273899
s_20783	FDXR	635.036470977	368.893129298
s_14686	CYP27A1	322.955191576	212.113549346
s_4545	ATPAF1	78.2921676547	63.6340648039
s_54975	SYNGR3	143.5356407	151.246183012
s_58194	TNK	2553.19457852	2515.85114181
s_29009	KDM5D	2846.79020722	3289.60448052
s_44477	PRRX2	4.3495648697	16.6001908184
s_40592	PCDHB15	190.29346305	225.024808872
s_61321	VNN1	843.815584723	904.710399604
s_31282	LMOD2	177.24476844	159.546278421
s_64484	ZNF69	309.906496966	232.402671458
s_56429	THAP1	1550.61987605	745.164121182
s_33389	MED2	1972.52766841	2426.39455796
s_18449	EPHB2	566.530824279	778.364502819
s_50719	SIGLEC8	2556.45675217	3156.80295397
s_61129	VASH	2862.01368427	2792.52098879
s_48651	RTP2	606.764299324	434.371659749
s_9994	CCL7	751.387331241	761.764312001
s_2391	ANK1	645.910383151	694.441315904
s_55005	SYNPO2L	1232.01424934	1336.31536088
s_1532	AGPAT5	315.343453054	458.349713153
s_56244	TFB1M	606.764299324	521.061545134
s_39461	OR6K6	657.871686543	972.955628524
s_58084	TNFRSF17	580.666910106	551.495228301
s_21238	FLVCR2	1683.28160458	2068.56822254
s_26630	IFFO1	2692.38065435	2122.05772629
s_2783	AP1B	2527.0971893	2797.1321529
s_43316	PPAR	1470.15292596	1534.59541788
s_23272	GNB5	1061.29382821	1187.83587634
s_27129	IL19	1224.40251082	1140.80200235
s_20113	FAM71D	1056.94426334	740.552957066
s_7781	C3orf1	295.77041114	376.270991884
s_37978	NRTN	1376.63728126	1235.79198315
s_11378	CERS1	1786.58377023	1978.18940586
s_34392	MORC2	815.54341307	558.873090887
s_52961	SNX32	1465.80336109	1633.27432997
s_39333	OR56B4	676.357337239	750.697518122
s_44917	PTCH2	2155.20939294	2371.06058856
s_26454	HYAL	3352.42712332	3598.5524763
s_27851	IRF2BP1	378.412143664	325.548186606
s_14092	CTCF	629.59951489	768.219941764
s_30304	KRTAP6-1	670.920381152	715.652670839
s_29828	KLHL6	1239.62598787	1017.22280404
s_13796	CRYG	1466.89075231	1562.26240258
s_4590	ATXN10	1851.82724328	1087.31249861
s_54752	SUPT16H	1639.78595588	1980.03387151
s_39631	OSBPL11	1799.63246484	1903.48854718
s_45396	PXK	1420.13292996	1975.42270739
s_40366	PATE4	1141.7607783	1099.30152531
s_25746	HNRNPH3	701.36733524	742.397422713
s_62913	ZDHHC	865.563409071	1067.94560932
s_58588	TPRG1L	114.17607783	62.7118319807
s_4234	ATOX	887.31123342	752.541983768
s_3628	ARMC7	778.572111677	382.726621647
s_16761	DPP	7797.68242016	8241.07250852
s_13435	CPSF6	390.373447056	311.714694257
s_22813	GIN1	1980.13940693	2585.01860356
s_37664	NPHP4	486.063874189	237.936068397
s_30216	KRTAP12-3	1629.99943492	2039.0567722
s_8352	C8orf4	527.384740452	536.739503129
s_39415	OR5R1	560.006476974	277.592079797
s_7276	C1orf27	2191.09330311	977.56679264
s_16307	DNAH1	504.549524886	539.506201599
s_12232	CLEC17A	740.513419067	474.027671148
s_11298	CEP41	2244.37547277	2122.05772629
s_7583	C2CD4A	1004.7494849	1329.85973112
s_10770	CDH23	1041.72078629	1164.78005576
s_53904	SRPR	1910.54636902	2172.78053157
s_7302	C1orf43	324.042582793	344.915075894
s_58529	TPH2	349.052580794	213.958014993
s_60814	USH2A	306.644323314	520.139312311
s_50128	SETD	866.650800289	747.008586829
s_9020	CAPN12	489.326047842	442.671755158
s_20668	FCAR	3966.80316117	3403.9613506
s_42460	PLEKHA4	542.608217496	545.961831361
s_10549	CD96	1067.81817551	1092.84589555
s_34953	MS4A3	1434.26901578	1683.07490242
s_9621	CCDC164	334.916494967	341.226144601
s_356	ABL2	5721.8525861	5727.06583236
s_29207	KIAA1033	636.123862194	954.510972059
s_59486	TSSK4	1447.31771039	1580.70705904
s_49901	Sep-09	3465.51580994	2849.69942383
s_56431	THAP1	518.685610712	192.746660058
s_22197	GALR1	140.273467048	96.8344464408
s_26980	IKBKB	2404.22198173	1904.41078
s_21062	FIBCD	593.715604715	488.78339632
s_27743	IQCB1	2268.29807955	2742.72041633
s_9760	CCDC60	13.0486946091	20.2891221114
s_49051	SARS	774.222546807	251.769560746
s_8721	CACNA2D3	1278.77207169	1820.48759309
s_35501	MXRA8	1589.76595988	1568.71803234
s_26434	HTT	928.632099682	1048.57872003
s_35558	MYCN	202.254766441	225.024808872
s_35812	MYOM3	3022.94758444	2570.26287839
s_13171	CORO2B	4245.17531283	4741.19894431
s_57709	TMEM55B	3870.02534282	3578.26335419
s_41761	PHYH	1931.20680215	2327.71564587
s_53800	SRBD1	2018.19809954	2035.3678409
s_52188	SLC7A1	840.55341107	827.242842451
s_47159	RHBDF1	806.84428333	747.930819652
s_14695	CYP27C	1423.39510361	1656.33015055
s_7122	C1orf116	2416.18328512	2702.14217211
s_64344	ZNF626	3016.42323714	3100.54675175
s_46879	RFC3	1436.44379822	797.731392107
s_37518	NOS3	1574.54248283	1456.2056279
s_24734	HAS3	879.699494898	742.397422713
s_3784	ART	1112.40121543	794.964693638
s_54759	SUPT5	284.896498966	210.2690837
s_11062	CEACAM18	636.123862194	585.617842761
s_62788	ZCCHC12	2036.68375024	1473.72805155
s_51670	SLC30A	1125.44991004	1110.36831919
s_49642	SEC24B	2629.31196374	3234.27051112
s_42178	PKLR	2576.02979408	2145.11354687
s_54834	SV2	1666.97073631	1527.21755529
s_43049	POLR1E	1079.7794789	352.29293848
s_41992	PILRA	117.438251482	210.2690837
s_58419	TOX	2110.62635302	1610.21850939
s_2645	ANKS1B	518.685610712	309.870228611
s_32465	MALT1	1702.85464649	1521.68415836
s_8244	C7orf33	1452.75466648	1814.95419615
s_19889	FAM220A	851.427323245	1172.15791835
s_59310	TSEN54	892.748189507	93.1455151478
s_34237	MMP2	353.402145663	205.657919584
s_21366	FNTB	1000.39992003	286.814408029
s_19460	FAM13C	922.107752377	1150.94656341
s_40212	PAPSS1	480.626918102	284.04770956
s_61742	WDR4	789.446023851	779.286735643
s_18557	ERAP2	931.894273334	977.56679264
s_9086	CAPZA2	605.676908106	982.177956757
s_19796	FAM204	293.595628705	298.803434732
s_49502	SDCCAG3	658.95907776	754.386449415
s_46095	RAPGEF5	925.36992603	928.688453008
s_18413	EPHA10	3859.15143065	3464.82871693
s_13236	COX6B1	712.241247414	452.816316214
s_24115	GRIN1	543.695608713	403.937976582
s_28949	KDELR2	1092.82817351	851.220895856
s_25000	HEBP2	691.580814283	700.896945667
s_56443	THAP3	1874.66245884	1793.74284121
s_62991	ZFP	2676.06978609	2159.86927204
s_19912	FAM22F	1528.8720517	1683.99713525
s_16303	DNAAF2	954.7294889	886.265743139
s_353	ABL1	3019.68541079	3218.59255313
s_18121	EMILIN1	1167.85816752	869.665552321
s_14974	DAPP1	1014.53600586	1277.2924602
s_8547	C9orf91	2276.99720929	2017.84541726
s_5172	BCL2L10	468.665614711	623.429388514
s_46039	RANBP9	650.259948021	473.105438325
s_35083	MSRB	465.403441058	373.504293414
s_5113	BCAS4	466.490832276	365.204198005
s_4816	B4GALT1	903.622101681	1313.2595403
s_5837	BSG	825.329934026	733.17509448
s_59056	TRIOBP	468.665614711	747.930819652
s_25878	HOXB	772.047764373	735.019560127
s_16851	DRD	1213.52859865	1514.30629577
s_423	AC007228.1	477.36474445	605.906964872
s_61592	WBP1L	1751.78725127	1929.31106623
s_39239	OR51A2	869.912973941	772.83110588
s_60349	UBXN10	1977.9646245	1727.34207794
s_63583	ZNF268	1517.99813953	1857.37690602
s_31299	LMX1B	3967.89055239	4664.65361998
s_4937	BAIAP3	3831.96665021	4868.46707391
s_27712	IPO5	566.530824279	578.239980175
s_54620	STXBP	1075.42991403	1008.00047581
s_61675	WDR19	440.393443058	518.294846664
s_16688	DPCD	805.756892113	1040.27862462
s_36019	NAI	803.582109678	930.532918655
s_53076	SORCS2	495.850395146	891.799140078
s_35314	MTR	626.337341237	576.395514528
s_62812	ZCCHC4	439.30605184	684.296754848
s_2312	ANAPC1	1529.95944292	658.474235797
s_9479	CCDC11	981.914269336	895.488071371
s_36439	NDUFA12	1228.75207569	1579.78482622
s_2875	APAF1	4515.93572597	5197.70419181
s_58893	TRIM33	568.705606714	465.727575739
s_61445	VSIG10L	611.113864193	628.04055263
s_16173	DLX1	790.533415069	749.775285299
s_64602	ZNF75D	1634.34899979	1722.73091382
s_64304	ZNF613	520.860393147	358.748568243
s_17264	EAF1	1257.02424734	1791.89837557
s_17017	DUS4L	531.734305321	471.260972678
s_56210	TF	1951.86723528	1989.25619974
s_44518	PRSS3	1133.06164856	936.066315594
s_20908	FGF14	1091.7407823	1266.22566632
s_28963	KDM1B	301.207367227	409.471373521
s_40109	PALB2	120.700425134	104.212309027
s_41108	PDK2	1888.79854467	2091.62404312
s_54570	STX18	307.731714532	83.9231869153
s_33210	MCOLN	1367.93815152	1535.5176507
s_15137	DCC	805.756892113	770.986640233
s_2655	ANKS4B	586.103866193	926.843987362
s_30903	LGALSL	865.563409071	1050.42318568
s_20943	FGF5	455.616920102	524.750476427
s_37791	NR1H2	427.344748448	434.371659749
s_32225	LYRM7	1519.08553074	1550.27337588
s_16112	DLG3	1459.27901379	1312.33730748
s_25116	HERPUD	683.969075761	766.375476117
s_1625	AHNAK	897.097754377	863.209922558
s_47139	RGSL1	290.333455053	177.990934886
s_1746	AK8	300.11997601	239.780534044
s_20374	FA	662.221251412	308.947995787
s_63650	ZNF3	3381.7866862	4088.25810545
s_48440	RRH	467.578223493	525.67270925
s_34728	MRPL3	744.862983937	435.293892572
s_43935	PRDM	1651.74725927	1637.88549408
s_29796	KLHL3	1145.02295195	1236.71421597
s_58184	TNIP2	382.761708534	384.571087293
s_42530	PLEKHH3	939.506011856	711.963739546
s_19685	FAM188A	412.121271404	360.593033889
s_442	AC021066.	507.811698538	584.695609938
s_26591	IDH3A	239.226067834	185.368797472
s_35839	MYRI	986.263834205	1127.89074283
s_42345	PLAUR	1840.9533311	2399.64980608
s_21986	GABRB	1337.49119743	887.187975962
s_27781	IQCJ	2107.36417937	2429.16125643
s_10970	CDKN2AIP	1475.58988205	1257.92557091
s_17156	DYNC1I	730.72689811	399.326812465
s_33687	MFAP	369.713013925	514.605915371
s_36206	NCAPD3	743.775592719	911.166029367
s_23108	GLU	119.613033917	157.701812775
s_33886	MICAL3	2197.61765042	1921.93320364
s_33781	MFSD8	463.228658624	390.104484233
s_14040	CSTF3	1161.33382021	284.969942383
s_5433	BIN1	5617.46302922	6610.56487702
s_28151	ITPA	470.840397145	195.513358528
s_55724	TBX	1438.61858065	1267.14789914
s_4689	AWAT1	1327.70467648	1101.14599096
s_20120	FAM71F1	909.059057768	1070.71230779
s_26831	IGF2BP2	3125.16235888	2489.10638994
s_23521	GPATCH8	264.236065835	291.425572146
s_62565	ZBP1	753.562113676	1067.94560932
s_38573	OCA2	766.610808285	986.789120873
s_22118	GALNT10	326.217365228	282.203243913
s_14228	CTSC	680.706902109	338.459446131
s_43161	POMT2	1058.03165456	1136.19083824
s_6472	C14orf28	954.7294889	866.898853851
s_34835	MRPS18B	831.854281331	232.402671458
s_49459	SCYL1	2564.06849069	2608.07442414
s_35926	NAAA	1920.33288997	1612.98520786
s_38655	OGDHL	407.771706535	520.139312311
s_25199	HFE	1108.05165056	1470.03912025
s_57448	TMEM20	638.298644629	528.43940772
s_17015	DUS3L	2122.58765642	1307.72614336
s_18224	ENDOV	2444.45545677	2289.90410012
s_58922	TRIM4	1188.51860065	1343.69322347
s_27822	IRAK1	3153.43453054	640.029579332
s_56727	TIPRL	455.616920102	591.1512397
s_860	ACTR3B	2883.76150861	2746.40934763
s_14125	CTDSP1	763.348634633	957.277670529
s_2599	ANKRD50	1246.15033517	1291.12595254
s_53611	SPOCD1	619.812993933	591.1512397
s_51150	SLC18A2	480.626918102	521.061545134
s_3432	ARHGEF2	1680.01943092	1240.40314727
s_61611	WBSCR17	953.642097683	950.822040766
s_19554	FAM167	1833.34159258	1763.30915805
s_51596	SLC2A4	893.835580724	1031.05629639
s_18033	ELOVL2	687.231249413	775.59780435
s_15438	DDX46	1195.04294795	1340.00429218
s_37181	NKX6-3	228.352155659	159.546278421
s_11753	CHODL	1910.54636902	1887.81058918
s_49880	Sep-05	1252.67468247	1301.2705136
s_48472	RRP1B	380.586926099	344.915075894
s_11346	CEP85L	2391.17328712	2782.37642773
s_37373	NMT2	632.861688542	662.16316709
s_48478	RRP36	1581.06683014	587.462308407
s_58536	TPK1	658.95907776	529.361640543
s_9818	CCDC77	686.143858196	669.541029676
s_22610	GEN	599.152560802	488.78339632
s_3903	ASB	3223.02756845	2739.95371786
s_1856	AKR1E2	493.675612711	610.518128989
s_1590	AGXT	979.739486901	1061.48997956
s_15032	DBN1	137.011293396	253.614026393
s_42280	PLA2G4C	1325.52989404	1891.49952048
s_42623	PLOD2	2592.34066234	2477.11736324
s_434	AC011443.1	798.145153591	1171.23568552
s_8302	C7orf66	929.719490899	1158.324426
s_22693	GGCX	483.889091755	420.5381674
s_37009	NICN	1232.01424934	1061.48997956
s_50423	SH3BGRL	457.791702536	533.050571836
s_8603	CA8	290.333455053	479.561068088
s_8239	C7orf29	1164.59599386	1252.39217397
s_47112	RGS5	263.148674617	377.193224707
s_16170	DLST	382.761708534	350.448472833
s_11228	CENP	1836.60376623	2533.37356546
s_48301	RPS25	350.139972011	288.658873676
s_1203	ADCYAP	512.161263408	611.440361812
s_8807	CALB1	1512.56118344	1497.70610495
s_50318	SGMS1	726.377333241	614.207060282
s_13765	CRYBB1	353.402145663	407.626907875
s_18662	ERLIN	1298.34511361	1411.93845239
s_23520	GPATCH4	1241.8007703	683.374522025
s_25157	HESX1	451.267355232	383.64885447
s_52338	SLCO1B	764.436025851	564.406487826
s_64240	ZNF58	1723.51507962	817.098281396
s_14984	DARS	1462.54118744	797.731392107
s_43352	PPEF2	612.201255411	601.295800756
s_46230	RASL10B	931.894273334	972.033395701
s_4008	ASPM	1162.42121143	892.721372902
s_22757	GHR	679.619510891	518.294846664
s_24238	GRXCR2	710.066464979	572.706583236
s_29382	KIF11	372.975187577	297.881201908
s_19733	FAM193B	751.387331241	693.519083081
s_12246	CLEC2B	1401.64727926	1602.8406468
s_3285	ARHGAP23	2071.4802692	2109.14646676
s_62798	ZCCHC1	823.155151592	1056.87881544
s_39599	ORM2	891.660798289	631.729483923
s_64530	ZNF70	765.523417068	736.864025773
s_3929	ASF1B	768.78559072	655.707537328
s_58238	TNNT	5295.59522886	4883.22279909
s_18252	ENOSF1	2645.622832	2614.5300539
s_20703	FCHO2	496.937786364	527.517174896
s_22809	GIMAP8	1034.10904777	956.355437706
s_17922	ELANE	575.229954018	323.703720959
s_39575	ORAOV	1581.06683014	1837.08778391
s_30338	KY	1267.89815952	1316.02623877
s_52281	SLC9A3R2	1108.05165056	1326.17079983
s_52813	SNRNP40	563.268650627	305.259064494
s_64970	ZUFSP	1446.23031918	1481.10591413
s_30078	KRT27	882.96166855	959.122136175
s_27875	IRF7	511.07387219	677.841125086
s_13403	CPQ	587.19125741	1089.15696425
s_25791	HOMER	1828.99202771	1862.91030296
s_11383	CERS	899.272536811	675.074426616
s_44347	PRPS	1110.22643299	1210.89169692
s_31329	LONRF2	963.428618639	961.888834645
s_2497	ANKRD18A	1560.40639701	1602.8406468
s_16181	DLX1	763.348634633	889.954674432
s_19112	F2RL3	400.159968013	221.335877579
s_13568	CREBBP	3027.29714931	5504.80772195
s_51505	SLC26A2	1031.93426534	889.954674432
s_15772	DGCR8	1089.56599986	129.112595254
s_17985	ELL	754.649504894	959.122136175
s_57052	TMEFF1	878.61210368	969.266697231
s_2243	AMN1	1061.29382821	1193.36927328
s_27496	INHBB	558.919085757	468.494274209
s_25517	HLA-DQA	2618.43805156	2520.46230593
s_35715	MYO18	1589.76595988	2139.58014993
s_29618	KLF13	528.472131669	344.915075894
s_22792	GIMAP2	2280.25938294	2822.03243913
s_1963	ALDH5A1	628.512123672	514.605915371
s_64512	ZNF	689.406031848	711.963739546
s_20256	FAM9	358.839101751	629.885018277
s_54474	STOML2	626.337341237	871.510017967
s_56275	TFE3	269.673021922	280.358778267
s_45596	RAB13	652.434730456	666.774331207
s_18075	EMC1	527.384740452	202.891221114
s_59884	TUSC3	1855.08941693	2287.13740165
s_7366	C1orf87	640.473427064	707.352575429
s_11325	CEP7	391.460838273	521.061545134
s_21978	GABRA	999.312528815	835.54293786
s_42225	PLA1A	772.047764373	513.683682548
s_37754	NPW	661.133860195	627.118319807
s_33262	MDH1B	1145.02295195	941.599712534
s_6319	C12orf44	730.72689811	582.851144291
s_7752	C2orf8	217.478243485	278.51431262
s_7379	C1orf94	824.242542809	874.276716437
s_24407	GTF2H	1247.23772639	1267.14789914
s_58470	TP53RK	827.504716461	258.225190509
s_54762	SUPT5	719.852985936	878.887880553
s_61344	VPS13D	1103.70208569	450.049617744
s_22772	GHSR	1000.39992003	758.075380708
s_50868	SKI	366.450840273	278.51431262
s_10803	CDH	428.432139666	501.694655846
s_58892	TRIM33	2280.25938294	1882.27719224
s_6664	C16orf78	1259.19902978	1046.73425438
s_12910	COL23A1	262.0612834	225.024808872
s_21987	GABRB	2004.06201372	1794.66507404
s_2685	ANO6	3842.84056238	4326.19417385
s_13125	COQ2	822.067760374	441.749522335
s_59070	TRIP12	999.312528815	1863.83253578
s_11304	CEP4	1470.15292596	1819.56536026
s_10777	CDH26	1523.43509561	1849.07681061
s_29667	KLHDC1	1160.24642899	1407.32728827
s_40984	PDE5A	899.272536811	1049.50095285
s_47556	RNF130	476.277353233	376.270991884
s_4499	ATP6V1G2	1957.30419137	2534.29579828
s_3187	ARF	566.530824279	552.417461124
s_14146	CTH	1289.64598387	1448.82776532
s_30974	LHX2	600.239952019	272.980915681
s_634	ACO	377.324752447	272.980915681
s_47787	RNF7	663.30864263	849.376430209
s_7529	C22orf13	1273.33511561	1067.0233765
s_13170	CORO2	550.219956018	490.627861967
s_32526	MAN2B2	369.713013925	320.014789666
s_59217	TRPM6	3567.73058437	3831.87738059
s_46328	RBBP7	1552.79465848	1482.02814696
s_28467	KBTBD1	575.229954018	656.629770151
s_57478	TMEM213	1478.8520557	1316.94847159
s_62577	ZBTB12	670.920381152	591.1512397
s_30551	LAS1L	1106.96425934	841.0763348
s_57013	TMED1	1058.03165456	1045.81202156
s_60435	UFM1	406.684315317	167.846373831
s_63165	ZIK1	391.460838273	598.529102286
s_22570	GDPD2	1394.03554074	1212.73616257
s_3845	ASB12	94.6030359161	192.746660058
s_17494	EFCAB2	1086.30382621	1280.05915866
s_15062	DBT	1176.55729726	1287.43702125
s_39358	OR5B2	591.54082228	604.062499226
s_22141	GALNT3	1168.94555873	1553.04007435
s_48229	RPP1	790.533415069	531.206106189
s_44224	PRMT8	1944.25549676	2419.9389282
s_7775	C3	1122.18773638	1035.6674605
s_22669	GGA1	593.715604715	656.629770151
s_8955	CAMSAP1	737.251245415	466.649808562
s_7286	C1orf35	637.211253412	681.530056378
s_54262	STARD7	692.6682055	337.537213308
s_16645	DOK2	3097.97757845	3363.38310638
s_12846	COG5	1375.54989004	1362.13787993
s_39290	OR52B6	494.763003929	657.552002974
s_58735	TRAPPC4	445.830399145	167.846373831
s_61386	VPS37B	776.397329242	1062.41221238
s_19358	FAM123	674.182554804	780.208968466
s_22828	GINS	1199.39251282	350.448472833
s_30948	LHFP	168.545638701	71.0119273899
s_12317	CLIC3	1096.09034717	936.066315594
s_51944	SLC43A	1501.68727127	1653.56345208
s_31605	LRRC1	681.794293326	514.605915371
s_53273	SPAG8	2883.76150861	2608.99665696
s_44179	PRL	526.297349234	562.56202218
s_17477	EEFSEC	727.464724458	442.671755158
s_26827	IGF2	2064.95592189	2435.61688619
s_54515	STRA8	1042.80817751	1119.59064742
s_56606	TIAM2	471.927788363	403.015743758
s_12918	COL25A1	1919.24549876	1364.9045784
s_7564	C22orf43	1335.316415	1435.91650579
s_5635	BOP1	484.976482972	337.537213308
s_38578	OCEL1	469.753005928	816.176048572
s_20746	FCRLA	590.453431062	353.215171303
s_22565	GDPD1	3348.07755845	3022.15696178
s_27049	IL13RA1	1354.88945691	1251.46994114
s_37690	NPNT	738.338636632	751.619750945
s_18208	ENC	1506.03683614	1513.38406295
s_45709	RAB3C	1212.44120743	1199.82490304
s_33228	MCTS1	1606.07682814	1155.55772753
s_20162	FAM82A1	1602.81465449	1630.5076315
s_48808	S100A1	577.404736453	511.839216901
s_58255	TNPO	2244.37547277	2526.91793569
s_27618	INTS1	400.159968013	453.738549037
s_52432	SLMA	420.820401144	241.62499969
s_61941	WFDC13	798.145153591	694.441315904
s_47033	RGR	1168.94555873	1458.05009355
s_37200	NLGN3	1025.40991803	941.599712534
s_26419	HTRA1	414.296053839	307.103530141
s_29349	KIAA1841	1759.3989898	1506.92843318
s_56950	TMC5	708.979073762	561.639789357
s_51153	SLC18B1	1085.21643499	1297.58158231
s_40866	PDCD4	822.067760374	548.728529831
s_3816	ASAP2	1549.53248483	2116.52432935
s_40309	PARP15	788.358632634	694.441315904
s_59589	TTC34	687.231249413	509.994751255
s_44884	PTAR1	1165.68338508	1091.92366272
s_38185	NUAK1	499.112568799	715.652670839
s_43499	PPME1	867.738191506	999.700380398
s_34541	MPRI	1684.36899579	2368.29389009
s_55431	TAS2R16	691.580814283	995.089216282
s_16165	DLL4	875.349930028	1000.62261322
s_51221	SLC22A11	790.533415069	980.33349111
s_29088	KIAA0182	2108.45157059	2284.37070318
s_42999	POLE4	884.049059767	407.626907875
s_50886	SKOR1	247.925197573	288.658873676
s_3488	ARID2	146.797814353	130.957060901
s_6752	C17orf50	181.59433331	177.068702063
s_38797	OPN1SW	539.346043843	730.40839601
s_45412	PXT1	929.719490899	1190.60257481
s_16092	DLEU7	516.510828277	588.384541231
s_44723	PSMB4	1428.8320597	606.829197696
