sgRNA	Gene	Day0	Day23
s_56318	TFR	616.550820281	684.296754848
s_44671	PSMA1	2226.97721329	2625.59684778
s_13058	COMMD8	425.169966014	372.582060591
s_43381	PPFIBP2	4209.29140266	3893.66697974
s_35976	NAD	78.2921676547	51.6450381018
s_58356	TOP1M	1472.32770839	1056.87881544
s_9618	CCDC164	571.967780366	731.330628834
s_61450	VSIG4	2752.18717131	2576.71850815
s_19199	FAF2	2171.5202612	1399.94942569
s_11403	CERS6	1559.31900579	1506.92843318
s_10401	CD37	1462.54118744	1481.10591413
s_13830	CSDA	1185.25642699	1411.01621957
s_35263	MTMR14	2284.60894781	2384.89408091
s_3258	ARHGAP17	1980.13940693	1953.28911963
s_59080	TRIP4	1645.22291197	1434.99427297
s_33866	MIB1	619.812993933	429.760495632
s_56325	TG	1105.87686812	776.520037173
s_6515	C15orf33	415.383445057	256.380724862
s_14339	CUTC	1976.87723328	2160.79150486
s_15335	DDN	1264.63598587	1292.97041819
s_31058	LIMA1	839.466019853	1187.83587634
s_22924	GLA	301.207367227	321.859255313
s_52732	SNAP47	571.967780366	837.387403507
s_35868	N4BP2L1	1168.94555873	1515.22852859
s_31780	LRRC56	1213.52859865	1031.05629639
s_31901	LRSAM1	363.18866662	302.492366025
s_47265	RIBC1	3019.68541079	3772.8544799
s_1379	ADSSL1	950.37992403	1383.34923487
s_18625	ERG	1610.42639301	2023.3788142
s_43394	PPIB	1613.68856666	1970.81154328
s_13315	CPEB1	1874.66245884	1867.52146707
s_13081	COPB2	1115.66338908	118.045801375
s_565	ACBD3	276.197369226	199.202289821
s_12454	CLTA	1963.82853867	2398.72757326
s_18453	EPHB3	1276.59728926	1372.28244099
s_31720	LRRC4	365.363449055	348.604007187
s_10679	CDCA2	629.59951489	700.896945667
s_63576	ZNF267	646.997774369	1049.50095285
s_42366	PLCB2	1264.63598587	1044.88978874
s_23194	GNA11	269.673021922	226.869274518
s_55053	SYT13	1515.82335709	1810.34303203
s_37987	NRXN1	569.792997931	692.596850257
s_46581	RCAN1	3232.81408941	3348.6273812
s_4672	AVPI1	793.795588721	679.685590732
s_31531	LRIT1	857.951670549	721.186067778
s_34206	MMP16	711.153856197	550.572995478
s_14167	CTNNA	3901.55968812	4195.23711294
s_63475	ZNF22	1044.98295995	1121.43511307
s_3625	ARMC	516.510828277	401.171278112
s_56627	TIGD2	853.602105679	1059.64551391
s_20830	FEZ1	1322.26772039	1710.74188712
s_27523	INO80C	1079.7794789	1050.42318568
s_9893	CCDC94	1397.29771439	346.75954154
s_9260	CAS	1366.8507603	1315.10400595
s_58449	TP53I13	801.407327243	542.272900068
s_50757	SIN3B	1263.54859465	1314.18177312
s_63666	ZNF311	566.530824279	557.02862524
s_2399	ANK2	2636.92370226	3640.05295335
s_33519	MEP	451.267355232	501.694655846
s_19246	FAM102B	365.363449055	262.836354625
s_31649	LRRC23	443.65561671	562.56202218
s_39471	OR6P1	617.638211498	535.817270306
s_22605	GEMIN	1546.27031118	1047.65648721
s_39253	OR51D1	1047.15774238	1481.10591413
s_45424	PYCR2	645.910383151	575.473281705
s_36811	NFAT5	3980.939247	3551.51860232
s_16863	DRG2	856.864279332	1107.60162072
s_10883	CDK2AP2	280.546934096	395.637881172
s_186	ABCC1	275.109978009	310.792461434
s_4306	ATP1B4	1027.58470047	1050.42318568
s_32905	MAS1L	56.5443433062	60.8673663342
s_17446	EEA1	492.588221494	508.150285608
s_34100	MLL2	1190.69338308	1070.71230779
s_48321	RPS4Y1	1428.8320597	1956.0558181
s_1357	ADRB1	463.228658624	267.447518741
s_31943	LSM14A	1293.99554874	1212.73616257
s_47527	RNF115	961.253836205	1162.01335729
s_11894	CHST	614.376037846	537.661735952
s_52921	SNX19	1449.49249283	1691.37499783
s_12481	CLUL	999.312528815	1074.40123908
s_4010	ASPM	1669.14551875	2218.89217273
s_39040	OR2B2	2813.08107948	1152.79102906
s_3026	APOBR	637.211253412	938.833014064
s_24321	GSTK1	2788.07108148	2793.44322161
s_56796	TLK1	107.651730525	113.434637259
s_10969	CDKN2AIP	425.169966014	561.639789357
s_18815	ETNK1	1159.15903778	1158.324426
s_62756	ZC3H6	1177.64468847	1323.40410136
s_15615	DEGS	2396.61024321	2418.09446255
s_37863	NR4A	1527.78466048	1674.77480701
s_20598	FBXO47	587.19125741	654.785304504
s_32301	MACC	1025.40991803	1064.25667803
s_15905	DHX29	194.643027919	362.437499536
s_55448	TAS2R40	560.006476974	421.460400223
s_23856	GPR5	2225.88982207	2407.02766867
s_55653	TBL3	616.550820281	269.291984388
s_62319	XRCC	1313.56859065	495.239026083
s_34369	MOGS	900.359928029	728.563930364
s_28857	KCNT1	5.43695608713	1.84446564649
s_53463	SPEG	297.945193575	416.849236107
s_21437	FOXG	677.444728456	543.195132892
s_55090	SYT	722.027768371	549.650762654
s_55234	TAF15	1000.39992003	1288.35925407
s_13898	CSMD3	3752.58709134	3997.87928877
s_8418	C9orf117	777.48472046	345.837308717
s_32659	MAP3K	243.575632703	264.680820271
s_55674	TBRG1	530.646914104	426.071564339
s_61507	VTN	481.71430932	346.75954154
s_19096	F13B	439.30605184	517.372613841
s_16955	DTN	2917.47063635	3153.11402268
s_10703	CDCP1	1109.13904177	1259.77003655
s_41582	PHB	1864.87593789	259.147423332
s_61077	VAMP3	496.937786364	413.160304814
s_8705	CACNA1I	1088.47860864	1154.6354947
s_4680	AVPR1B	633.949079759	448.205152097
s_36485	NDUFAF4	337.091277402	200.124522644
s_42412	PLCXD	660.046468978	830.931773744
s_27949	ISM2	1171.12034117	1287.43702125
s_52719	SNAP23	1737.65116545	2140.50238275
s_58898	TRIM3	837.291237418	887.187975962
s_33838	MGP	242.488241486	262.836354625
s_24428	GTF3A	703.542117675	818.942747042
s_20561	FBXO39	1084.12904377	869.665552321
s_26214	HSD3B7	1041.72078629	975.722326994
s_4847	B9D2	218.565634703	145.712786073
s_49299	SCML2	1139.58599586	1396.26049439
s_45328	PUS7	1172.20773239	1129.73520848
s_37582	SPESP1	1414.69597387	1653.56345208
s_63872	ZNF425	88.0786886115	44.2671755158
s_55919	TCP11L	527.384740452	462.038644446
s_51380	SLC25A23	431.694313318	329.237117899
s_47023	RGMB	851.427323245	1535.5176507
s_47872	RORA	1860.52637302	1759.62022675
s_56203	TEX33	1379.89945491	1801.1207038
s_13114	COPZ1	253.36215366	81.1564884456
s_64806	ZNF879	468.665614711	604.984732049
s_23655	GPR11	445.830399145	329.237117899
s_32092	LY6D	1364.67597787	889.954674432
s_3307	ARHGAP2	568.705606714	732.252861657
s_8935	CAMKMT	921.02036116	1080.85686884
s_1522	AGPAT2	2372.68763642	1722.73091382
s_24526	GUF1	256.624327313	333.848282015
